source_doc,eval_type,eval_method,variant,score
1,N-gram,Rouge1,source,1.0
1,N-gram,Rouge2,source,1.0
1,Graph-based,AutoSummENG,source,1.000000
1,Graph-based,MeMoG,source,1.000000
1,Meta,NPowER,source,0.888240
1,Embeddings-based,BERTScore,source,1.0
1,N-gram,Rouge1,deleted_words,0.888888888888889
1,N-gram,Rouge2,deleted_words,0.75
1,Graph-based,AutoSummENG,deleted_words,0.836199
1,Graph-based,MeMoG,deleted_words,0.836199
1,Meta,NPowER,deleted_words,0.752354
1,Embeddings-based,BERTScore,deleted_words,0.9596078395843506
1,N-gram,Rouge1,inserted_sentence,0.8421052631578948
1,N-gram,Rouge2,inserted_sentence,0.7058823529411765
1,Graph-based,AutoSummENG,inserted_sentence,0.792696
1,Graph-based,MeMoG,inserted_sentence,0.792696
1,Meta,NPowER,inserted_sentence,0.716265
1,Embeddings-based,BERTScore,inserted_sentence,0.9604202508926392
1,N-gram,Rouge1,removed_sentence,0.8421052631578948
1,N-gram,Rouge2,removed_sentence,0.7058823529411765
1,Graph-based,AutoSummENG,removed_sentence,0.951657
1,Graph-based,MeMoG,removed_sentence,0.951657
1,Meta,NPowER,removed_sentence,0.848135
1,Embeddings-based,BERTScore,removed_sentence,0.9655354022979736
1,N-gram,Rouge1,repeated_sentence,0.4615384615384615
1,N-gram,Rouge2,repeated_sentence,0.3783783783783784
1,Graph-based,AutoSummENG,repeated_sentence,0.624996
1,Graph-based,MeMoG,repeated_sentence,0.624996
1,Meta,NPowER,repeated_sentence,0.577144
1,Embeddings-based,BERTScore,repeated_sentence,0.9563725590705872
1,N-gram,Rouge1,shuffled_words,1.0
1,N-gram,Rouge2,shuffled_words,0.5555555555555556
1,Graph-based,AutoSummENG,shuffled_words,0.750555
1,Graph-based,MeMoG,shuffled_words,0.750555
1,Meta,NPowER,shuffled_words,0.681305
1,Embeddings-based,BERTScore,shuffled_words,0.7916533946990967
1,N-gram,Rouge1,100_1,0.47058823529411764
1,N-gram,Rouge2,100_1,0.0
1,Graph-based,AutoSummENG,100_1,0.488195
1,Graph-based,MeMoG,100_1,0.488195
1,Meta,NPowER,100_1,0.463656
1,Embeddings-based,BERTScore,100_1,0.7825565338134766
1,N-gram,Rouge1,101_1,0.3636363636363636
1,N-gram,Rouge2,101_1,0.19999999999999998
1,Graph-based,AutoSummENG,101_1,0.428473
1,Graph-based,MeMoG,101_1,0.428473
1,Meta,NPowER,101_1,0.414112
1,Embeddings-based,BERTScore,101_1,0.7922524809837341
1,N-gram,Rouge1,102_1,0.38461538461538464
1,N-gram,Rouge2,102_1,0.16666666666666669
1,Graph-based,AutoSummENG,102_1,0.447899
1,Graph-based,MeMoG,102_1,0.447899
1,Meta,NPowER,102_1,0.430228
1,Embeddings-based,BERTScore,102_1,0.7578915953636169
1,N-gram,Rouge1,103_1,0.45454545454545453
1,N-gram,Rouge2,103_1,0.19999999999999998
1,Graph-based,AutoSummENG,103_1,0.465639
1,Graph-based,MeMoG,103_1,0.465639
1,Meta,NPowER,103_1,0.444945
1,Embeddings-based,BERTScore,103_1,0.8036473989486694
1,N-gram,Rouge1,105_1,0.29629629629629634
1,N-gram,Rouge2,105_1,0.08
1,Graph-based,AutoSummENG,105_1,0.386106
1,Graph-based,MeMoG,105_1,0.386106
1,Meta,NPowER,105_1,0.378966
1,Embeddings-based,BERTScore,105_1,0.7973784804344177
1,N-gram,Rouge1,106_1,0.6923076923076923
1,N-gram,Rouge2,106_1,0.5
1,Graph-based,AutoSummENG,106_1,0.489329
1,Graph-based,MeMoG,106_1,0.489329
1,Meta,NPowER,106_1,0.464598
1,Embeddings-based,BERTScore,106_1,0.8319084048271179
1,N-gram,Rouge1,107_1,0.41379310344827586
1,N-gram,Rouge2,107_1,0.2222222222222222
1,Graph-based,AutoSummENG,107_1,0.472502
1,Graph-based,MeMoG,107_1,0.472502
1,Meta,NPowER,107_1,0.450638
1,Embeddings-based,BERTScore,107_1,0.8008701801300049
1,N-gram,Rouge1,108_1,0.4444444444444445
1,N-gram,Rouge2,108_1,0.24000000000000005
1,Graph-based,AutoSummENG,108_1,0.445852
1,Graph-based,MeMoG,108_1,0.445852
1,Meta,NPowER,108_1,0.428530
1,Embeddings-based,BERTScore,108_1,0.791095495223999
1,N-gram,Rouge1,10_1,0.5263157894736842
1,N-gram,Rouge2,10_1,0.0
1,Graph-based,AutoSummENG,10_1,0.455597
1,Graph-based,MeMoG,10_1,0.455597
1,Meta,NPowER,10_1,0.436614
1,Embeddings-based,BERTScore,10_1,0.7855404615402222
1,N-gram,Rouge1,110_1,0.35714285714285715
1,N-gram,Rouge2,110_1,0.0
1,Graph-based,AutoSummENG,110_1,0.315268
1,Graph-based,MeMoG,110_1,0.315268
1,Meta,NPowER,110_1,0.320200
1,Embeddings-based,BERTScore,110_1,0.7341314554214478
10,N-gram,Rouge1,source,1.0
10,N-gram,Rouge2,source,1.0
10,Graph-based,AutoSummENG,source,1.000000
10,Graph-based,MeMoG,source,1.000000
10,Meta,NPowER,source,0.888240
10,Embeddings-based,BERTScore,source,1.0
10,N-gram,Rouge1,deleted_words,0.9411764705882353
10,N-gram,Rouge2,deleted_words,0.7999999999999999
10,Graph-based,AutoSummENG,deleted_words,0.835821
10,Graph-based,MeMoG,deleted_words,0.835821
10,Meta,NPowER,deleted_words,0.752041
10,Embeddings-based,BERTScore,deleted_words,0.9597468972206116
10,N-gram,Rouge1,inserted_sentence,1.0
